"anomID" "session_vm" "session_vr" "session" "taskOrder" "block" "blockOrder" "list" "object" "colorWheelRot" "inputOrder" "outputOrder" "targetColor" "response" "deviation" "recallError" "ended_on" "duration"
1096 2 1 1 "0" "silence" "0" 3 "59" 285 11 18 "74" "53.2653178200838" -20.7346821799162 20.7346821799162 "response" 3229.96100002382
1096 2 1 1 "0" "silence" "0" 3 "60" 111 1 19 "111" "98.1651021656254" -12.8348978343746 12.8348978343746 "response" 20293.3850000238
1096 2 1 1 "0" "silence" "0" 3 "49" 65 3 8 "112" "113.534499033755" 1.5344990337546 1.5344990337546 "response" 9888.58600004768
1096 2 1 1 "0" "silence" "0" 3 "50" 202 6 9 "334" "343.277858597072" 9.27785859707228 9.27785859707228 "response" 14455.4440000477
1096 2 1 1 "0" "silence" "0" 3 "56" 247 10 15 "149" "159.667129936084" 10.6671299360844 10.6671299360844 "response" 4908.31200002384
1096 2 1 1 "0" "silence" "0" 3 "44" 39 4 3 "329" "314.350284306671" -14.6497156933293 14.6497156933293 "response" 3471.37100007152
1096 2 1 1 "0" "silence" "0" 3 "51" 273 12 10 "250" "244.307360091204" -5.69263990879642 5.69263990879642 "response" 3523.98800004768
1096 2 1 1 "0" "silence" "0" 3 "41" 178 18 0 "308" "324.357179498579" 16.3571794985789 16.3571794985789 "response" 3706.46000004769
1096 2 1 1 "0" "silence" "0" 3 "43" 27 8 2 "145" "150.090628675835" 5.09062867583498 5.09062867583498 "response" 3771.87000009534
1096 2 1 1 "0" "silence" "0" 3 "45" 150 5 4 "156" "147.270524682578" -8.72947531742182 8.72947531742182 "response" 6588.93099999998
1096 2 1 1 "0" "silence" "0" 3 "53" 32 13 12 "20" "20.1503221131831" 0.150322113183108 0.150322113183108 "response" 1779.64500000002
1096 2 1 1 "0" "silence" "0" 3 "52" 43 16 11 "278" "278.838119043334" 0.838119043334473 0.838119043334473 "response" 5177.80200002389
1096 2 1 1 "0" "silence" "0" 3 "58" 157 0 17 "216" "224.776048400802" 8.77604840080247 8.77604840080247 "response" 6228.31400009536
1096 2 1 1 "0" "silence" "0" 3 "47" 192 2 6 "315" "321.880232688913" 6.88023268891288 6.88023268891288 "response" 4639.50500004773
1096 2 1 1 "0" "silence" "0" 3 "57" 137 14 16 "304" "163.037437211853" -140.962562788147 140.962562788147 "response" 7387.63300009537
1096 2 1 1 "0" "silence" "0" 3 "46" 269 7 5 "319" "315.680884240825" -3.31911575917479 3.31911575917479 "response" 2561.88600004767
1096 2 1 1 "0" "silence" "0" 3 "48" 253 17 7 "284" "287.120615685798" 3.12061568579782 3.12061568579782 "response" 4180.14000000001
1096 2 1 1 "0" "silence" "0" 3 "54" 343 15 13 "133" "147.357752666354" 14.3577526663535 14.3577526663535 "response" 8507.61400007154
1096 2 1 1 "0" "silence" "0" 3 "55" 49 9 14 "71" "77.6687013024661" 6.66870130246615 6.66870130246615 "response" 12734.8310000239
1096 2 1 1 "0" "silence" "0" 3 "42" 180 19 1 "215" "79.4402387616537" -135.559761238346 135.559761238346 "response" 7701.24600004766
1096 2 1 1 "0" "lofi" "1" 2 "39" 55 5 18 "251" "247.483012787925" -3.51698721207498 3.51698721207498 "response" 4822.71900002379
1096 2 1 1 "0" "lofi" "1" 2 "36" 128 12 15 "13" "317.584676580552" -55.4153234194479 55.4153234194479 "response" 3541.19900009537
1096 2 1 1 "0" "lofi" "1" 2 "23" 345 6 2 "292" "273.755788587478" -18.244211412522 18.244211412522 "response" 5340.18700004765
1096 2 1 1 "0" "lofi" "1" 2 "21" 298 2 0 "202" "217.263313661029" 15.2633136610293 15.2633136610293 "response" 1686.34300004772
1096 2 1 1 "0" "lofi" "1" 2 "25" 218 7 4 "129" "133.820443729619" 4.82044372961872 4.82044372961872 "response" 1640.20700007153
1096 2 1 1 "0" "lofi" "1" 2 "27" 195 3 6 "342" "345.77475515428" 3.77475515428023 3.77475515428023 "response" 5562.32999999996
1096 2 1 1 "0" "lofi" "1" 2 "26" 15 1 5 "198" "144.0870530829" -53.9129469170997 53.9129469170997 "response" 2524.6930000477
1096 2 1 1 "0" "lofi" "1" 2 "28" 16 13 7 "58" "76.5044745111989" 18.5044745111989 18.5044745111989 "response" 2600.46200004767
1096 2 1 1 "0" "lofi" "1" 2 "37" 21 15 16 "344" "348.242925041626" 4.24292504162628 4.24292504162628 "response" 5010.19700004766
1096 2 1 1 "0" "lofi" "1" 2 "29" 40 11 8 "298" "327.658981511629" 29.6589815116286 29.6589815116286 "response" 3717.85300009535
1096 2 1 1 "0" "lofi" "1" 2 "40" 83 8 19 "161" "169.343898341877" 8.34389834187672 8.34389834187672 "response" 4305.58000009542
1096 2 1 1 "0" "lofi" "1" 2 "35" 58 16 14 "173" "141.61962899498" -31.3803710050198 31.3803710050198 "response" 1907.61500004772
1096 2 1 1 "0" "lofi" "1" 2 "31" 332 17 10 "329" "351.521731452646" 22.5217314526457 22.5217314526457 "response" 9675.82400000002
1096 2 1 1 "0" "lofi" "1" 2 "34" 236 0 13 "60" "136.90421882572" 76.9042188257201 76.9042188257201 "response" 4760.37100004766
1096 2 1 1 "0" "lofi" "1" 2 "22" 138 4 1 "111" "318.073928868971" -152.926071131029 152.926071131029 "response" 4645.16800002381
1096 2 1 1 "0" "lofi" "1" 2 "38" 188 18 17 "265" "257.149763057021" -7.85023694297882 7.85023694297882 "response" 7170.85400007153
1096 2 1 1 "0" "lofi" "1" 2 "32" 232 19 11 "106" "86.7992997730146" -19.2007002269854 19.2007002269854 "response" 5774.32499999995
1096 2 1 1 "0" "lofi" "1" 2 "30" 102 14 9 "157" "145.493531295444" -11.5064687045559 11.5064687045559 "response" 5059.79400004772
1096 2 1 1 "0" "lofi" "1" 2 "24" 142 9 3 "66" "70.0271569469405" 4.02715694694047 4.02715694694047 "response" 3436.76900007157
1096 2 1 1 "0" "lofi" "1" 2 "33" 162 10 12 "230" "234.012665625843" 4.01266562584269 4.01266562584269 "response" 3423.8510000715
1096 2 1 1 "0" "music" "2" 1 "4" 48 16 3 "37" "21.2962205073218" -15.7037794926782 15.7037794926782 "response" 6061.6530000238
1096 2 1 1 "0" "music" "2" 1 "19" 136 18 18 "202" "167.831152604479" -34.1688473955207 34.1688473955207 "response" 4234.53300007153
