Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
-8.12074,0.045533,6.47026,6.47519,-18.6969,-8.13231,2.49954,20206.7,19951.2,2206.69,1.00003
12.2619,0.0468969,6.58151,6.63628,1.51184,12.2424,23.0162,19715.5,20093.2,2153.05,1.00021
1.9691,0.0457159,6.48937,6.4278,-8.7339,1.97731,12.5492,20149.5,19566.9,2200.45,1.00006
-10.1382,0.0465827,6.50366,6.48665,-20.7884,-10.1454,0.599885,19505.9,19663.5,2130.17,1.00009
8.19478,0.0455979,6.47372,6.46695,-2.55502,8.21542,18.7818,20166.3,19261.3,2202.29,1.00011
6.49897,0.0456575,6.50829,6.43602,-4.102,6.47429,17.3014,20326.0,19612.6,2219.73,0.999922
-8.59509,0.0464351,6.49375,6.46864,-19.2957,-8.52346,2.0162,19561.2,19345.7,2136.21,1.00002
-17.4529,0.0462294,6.46885,6.39811,-28.0878,-17.4905,-6.78538,19620.8,19666.0,2142.71,0.999979
-8.31605,0.04602,6.52013,6.48299,-18.9192,-8.37275,2.51801,20073.9,19519.9,2192.19,1.00015
7.55992,0.0468981,6.51437,6.4845,-3.12221,7.5157,18.3288,19164.5,19733.1,2092.88,1.00017
-11.0243,0.0460895,6.52186,6.50317,-21.6297,-11.0052,-0.23368,20028.9,19857.6,2187.28,1.0001
-7.55564,0.0460061,6.50874,6.49201,-18.2046,-7.56733,3.1932,20022.4,19713.5,2186.56,0.999996
-14.162,0.0454912,6.44924,6.41553,-24.7306,-14.1547,-3.39873,20114.9,19849.0,2196.67,0.999967
1.29814,0.0457399,6.49727,6.47714,-9.34188,1.25961,12.0542,20182.1,19003.6,2204.01,1.00041
-19.1143,0.0465462,6.53838,6.53156,-29.8459,-19.1338,-8.3688,19742.9,19522.9,2156.04,1.00009
-13.6688,0.0458095,6.49345,6.49335,-24.4079,-13.6607,-2.97405,20099.8,19343.3,2195.02,1.00003
-0.338375,0.0457066,6.47834,6.39535,-11.0254,-0.361131,10.3233,20099.1,19971.8,2194.94,0.999897
-9.56803,0.0460203,6.54076,6.52289,-20.2436,-9.62084,1.20602,20218.1,20084.8,2207.94,1.00013
-7.38973,0.0454441,6.46015,6.4483,-18.0276,-7.39039,3.1302,20212.2,20099.6,2207.29,1.00015
-4.3241,0.0452535,6.49531,6.39434,-15.0243,-4.32479,6.3855,20614.1,19681.0,2251.18,1.00002
-4.26363,0.0452953,6.40864,6.34726,-14.83,-4.2543,6.35949,20034.3,19641.3,2187.87,0.999907
5.73753,0.0457113,6.45267,6.42487,-4.93931,5.75269,16.3735,19931.7,19152.0,2176.66,1.00021
-8.6129,0.046195,6.5023,6.44138,-19.32,-8.58344,2.01764,19819.7,20015.1,2164.43,0.999898
